Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28183;Amortissements du matériel de bureau et matériel informatique;01;Opération non ventilable;040;;1976989;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;213;Classes regroupées;012;Ch.de pers., frais ass.;22401;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;20000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;600;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;822;Voirie communale et routes;70;Prod. des services;415000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60631;Fournitures d'entretien;822;Voirie communale et routes;011;Ch.  caract. gén.;10000;0
Budget principal VT;Recette;Réel;Investissement;M14V;024;Produits des cessions d'immobilisations (recettes);24;Produits des cessions d'immobilisations;824;Autres opérations d'aménagement urbain;024;;3697000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;40;Services communs;21;Immob. corporelles;76000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;637;Autres impôts, taxes et versements assimilés (autres organismes);520;Services communs;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21534;Réseaux d'électrification;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;0;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7485;Dotation pour les titres sécurisés;114;Autres services de protection civile;74;Dotations, subv.;110660;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;321;Bibliothques et médiathques;75;Autres prod. d'activité;1500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;313;Théâtres;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60631;Fournitures d'entretien;322;Musées;011;Ch.  caract. gén.;34715;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615231;Entretien et réparations voiries;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;87306;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7411;Dotation forfaitaire;01;Opération non ventilable;74;Dotations, subv.;64305000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;023;Information, communication, publicité;012;Ch.de pers., frais ass.;20519;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;64;Crches et garderies;012;Ch.de pers., frais ass.;4056925;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;31595;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;020;Administration générale de la collectivité;011;Ch.  caract. gén.;742000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;62876;Divers - Au GFP de rattachement;020;Administration générale de la collectivité;011;Ch.  caract. gén.;518400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;658;Charges diverses de la gestion courante;524;Autres services;65;Autres ch d'activité;1100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;33;Action culturelle;012;Ch.de pers., frais ass.;1585;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;55635;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;412;Stades;011;Ch.  caract. gén.;3500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;78743;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;112;Police municipale;012;Ch.de pers., frais ass.;78058;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;412;Stades;21;Immob. corporelles;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;211;Ecoles maternelles;012;Ch.de pers., frais ass.;108597;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;213;Classes regroupées;012;Ch.de pers., frais ass.;4508728;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;510;Services communs;012;Ch.de pers., frais ass.;188750;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;020;Administration générale de la collectivité;23;Travaux en cours;103705;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;411;Salles de sports, gymnases;011;Ch.  caract. gén.;1400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6283;Frais de nettoyage des locaux;411;Salles de sports, gymnases;011;Ch.  caract. gén.;93656;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;213;Classes regroupées;011;Ch.  caract. gén.;144000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;213;Classes regroupées;21;Immob. corporelles;1100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60624;Produits de traitement;510;Services communs;011;Ch.  caract. gén.;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;63;Aides  la famille;012;Ch.de pers., frais ass.;57558;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804182;Amortissement des subventions d'équipement versées aux autres organismes publics - Bâtiments et installations (O);01;Opération non ventilable;040;;369669;0
Budget principal VT;Recette;Ordre;Investissement;M14V;041;Opérations patrimoniales;238;Avances versées  des mandataires sur commandes d'immobilisations corporelles (O);01;Opération non ventilable;041;;7000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;112;Police municipale;65;Autres ch d'activité;295000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;112;Police municipale;012;Ch.de pers., frais ass.;32176;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;831;Aménagement des eaux;20;Immob. incorporelles;37000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;520;Services communs;011;Ch.  caract. gén.;1641000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;822;Voirie communale et routes;011;Ch.  caract. gén.;5403000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65731;Subventions de fonctionnement  l'état;824;Autres opérations d'aménagement urbain;65;Autres ch d'activité;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;61;Services en faveur des personnes agées;204;;400000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);322;Musées;011;Ch.  caract. gén.;20304;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;757;Redevances versées par les fermiers et les concessionnaires;90;Interventions économiques;75;Autres prod. d'activité;1600000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;7500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;63;Aides  la famille;012;Ch.de pers., frais ass.;1679;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;2275245;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;020;Administration générale de la collectivité;011;Ch.  caract. gén.;67392;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60636;Vtements de travail;020;Administration générale de la collectivité;011;Ch.  caract. gén.;598680;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;831;Aménagement des eaux;012;Ch.de pers., frais ass.;168709;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6283;Frais de nettoyage des locaux;020;Administration générale de la collectivité;011;Ch.  caract. gén.;684680;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;520;Services communs;012;Ch.de pers., frais ass.;3106;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;520;Services communs;012;Ch.de pers., frais ass.;2058312;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;41676;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;64;Crches et garderies;21;Immob. corporelles;104350;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7067;Redevances et droits des services périscolaires et d'enseignement;255;Classes de découverte et autres services annexes de l'enseignement;70;Prod. des services;2650000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;255;Classes de découverte et autres services annexes de l'enseignement;74;Dotations, subv.;1600000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2182;Matériel de transport;40;Services communs;21;Immob. corporelles;143000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;413;Piscines;21;Immob. corporelles;33200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6132;Locations immobilires;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;370000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;321;Bibliothques et médiathques;012;Ch.de pers., frais ass.;1962303;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;33;Action culturelle;012;Ch.de pers., frais ass.;223502;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;415;Manifestations sportives;011;Ch.  caract. gén.;4000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60611;Eau et assainissement;423;Colonies de vacances;011;Ch.  caract. gén.;7175;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7018;Autres ventes de produits finis;255;Classes de découverte et autres services annexes de l'enseignement;70;Prod. des services;520000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;251;Hébergement et restauration scolaire;011;Ch.  caract. gén.;68000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;251;Hébergement et restauration scolaire;21;Immob. corporelles;211300;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;33;Action culturelle;23;Travaux en cours;3297508;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;213;Classes regroupées;011;Ch.  caract. gén.;19200;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;510;Services communs;21;Immob. corporelles;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;823;Espaces verts urbains;012;Ch.de pers., frais ass.;1583465;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;510;Services communs;011;Ch.  caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;85038;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74751;Participations - GFP de rattachement;323;Archives;74;Dotations, subv.;12500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;146712;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;020;Administration générale de la collectivité;011;Ch.  caract. gén.;170300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6227;Frais d'actes et de contentieux;020;Administration générale de la collectivité;011;Ch.  caract. gén.;542934;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70328;Autres droits de stationnement et de location;524;Autres services;70;Prod. des services;11000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;70;Services communs;012;Ch.de pers., frais ass.;116538;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60636;Vtements de travail;112;Police municipale;011;Ch.  caract. gén.;525360;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;831;Aménagement des eaux;012;Ch.de pers., frais ass.;38951;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;510;Services communs;012;Ch.de pers., frais ass.;18594;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;823;Espaces verts urbains;012;Ch.de pers., frais ass.;93319;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;311;Expression musicale, lyrique et chorégraphique;21;Immob. corporelles;60706;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);020;Administration générale de la collectivité;011;Ch.  caract. gén.;124320;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;013;Atténuations de charges;6459;Remboursements sur charges de sécurité sociale et de prévoyance;020;Administration générale de la collectivité;013;Atténuation de ch.;72000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6488;Autres charges;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;421;Centres de loisirs;012;Ch.de pers., frais ass.;47296;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;7402680;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;824;Autres opérations d'aménagement urbain;65;Autres ch d'activité;15000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;757;Redevances versées par les fermiers et les concessionnaires;414;Autres équipements sportifs ou de loisir;75;Autres prod. d'activité;227562;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;423;Colonies de vacances;011;Ch.  caract. gén.;16000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;324;Entretien du partrimoine culturel;011;Ch.  caract. gén.;120000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);13251;Subventions d'équipement non transférables - GFP de rattachement;412;Stades;13;Subventions;2000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;788443;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;213;Classes regroupées;011;Ch.  caract. gén.;1440000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;411;Salles de sports, gymnases;21;Immob. corporelles;912250;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;411;Salles de sports, gymnases;21;Immob. corporelles;23200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;530;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6284;Redevances pour services rendus;020;Administration générale de la collectivité;011;Ch.  caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;213;Classes regroupées;011;Ch.  caract. gén.;160000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;678;Autres charges exceptionnelles;01;Opérations non ventilables;67;Ch. execpt.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;639;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;421;Centres de loisirs;012;Ch.de pers., frais ass.;619300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615232;Entretien et réparations réseaux;831;Aménagement des eaux;011;Ch.  caract. gén.;7000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);831;Aménagement des eaux;011;Ch.  caract. gén.;1600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;833;Préservation du millieu naturel;011;Ch.  caract. gén.;48960;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;311;Expression musicale, lyrique et chorégraphique;65;Autres ch d'activité;5568;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;60;Services communs;011;Ch.  caract. gén.;3500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;324;Entretien du partrimoine culturel;23;Travaux en cours;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60631;Fournitures d'entretien;022;Administration générale de l'Etat;011;Ch.  caract. gén.;3300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;321;Bibliothques et médiathques;011;Ch.  caract. gén.;21300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;322;Musées;011;Ch.  caract. gén.;41900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;023;Information, communication, publicité;011;Ch.  caract. gén.;632550;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6232;Ftes et cérémonies;023;Information, communication, publicité;011;Ch.  caract. gén.;396186;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6244;Transports administratifs;023;Information, communication, publicité;011;Ch.  caract. gén.;234132;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6251;Voyages et déplacements;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;823;Espaces verts urbains;012;Ch.de pers., frais ass.;46841;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;1957;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;421;Centres de loisirs;012;Ch.de pers., frais ass.;48113;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;520;Services communs;012;Ch.de pers., frais ass.;194;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6225;Indemnités au comptable et aux régisseurs;020;Administration générale de la collectivité;011;Ch.  caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;820;Services communs;012;Ch.de pers., frais ass.;3484137;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);020;Administration générale de la collectivité;011;Ch.  caract. gén.;14900;0
