Entité financière programme;Nomenclature;Nature AP/EPCP;Type mouvement;Section;Code chapitre;Libellé chapitre;Code article;Libellé article;Code fonction;Libellé fonction;Mt Voté BP
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;422;Autres activités pour les jeunes;20000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2161;Oeuvres et objets d'art;323;Archives;35000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2181;Installations générales, agencements et aménagements divers;322;Musées;225000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2182;Matériel de transport;020;Administration générale de la collectivité;1860479
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;213;Classes regroupées;720000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;020;Administration générale de la collectivité;439327
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;30;Services communs;40000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;411;Salles de sports, gymnases;565000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;61;Services en faveur des personnes agées;15000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;021;Assemblée locale;1000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;112;Police municipale;134100
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;251;Hébergement et restauration scolaire;235000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;255;Classes de découverte et autres services annexes de l'enseignement;4000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;40;Services communs;50600
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;415;Manifestations sportives;33000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;823;Espaces verts urbains;80000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;824;Autres opérations d'aménagement urbain;13500
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;322;Musées;1552482
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;95;Aides au tourisme;162000
Budget principal VT;M14;Dépense;Ordre;Fonctionnement;023;Virement à la section d'investissement;023;Virement à la section d'investissement;01;Opération non ventilable;335014
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7018;Autres ventes de produits finis;255;Classes de découverte et autres services annexes de l'enseignement;342300
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;822;Voirie communale et routes;589600
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services à caractère culturel;311;Expression musicale, lyrique et chorégraphique;233000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7067;Redevances et droits des services périscolaires et d'enseignement;251;Hébergement et restauration scolaire;8000000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7083;Locations diverses (autres qu'immeubles);321;Bibliothèques et médiathèques;1000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70872;Remboursement des frais par les budgets annexes et les régies municipales;01;Opérations non ventilables;35000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70878;Remboursement des frais par d'autres redevables;020;Administration générale de la collectivité;215712
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);321;Bibliothèques et médiathèques;285000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);322;Musées;523380
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);524;Autres services;189000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);816;Autres réseaux et services divers;3400000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7322;Dotation de solidarité communautaire;01;Opérations non ventilables;5800000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7338;Autres taxes;90;Interventions économiques;220000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7343;Taxes sur les pylônes électriques;01;Opérations non ventilables;75000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7363;Impôt sur les spectacles;01;Opérations non ventilables;29000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7364;Prélevement sur les produits des jeux;90;Interventions économiques;5300000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7388;Autres taxes diverses;01;Opérations non ventilables;2293000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74123;Dotation de solidarité urbaine;01;Opération non ventilable;5253642
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74127;Dotation nationale de péréquation;01;Opération non ventilable;4131172
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;255;Classes de découverte et autres services annexes de l'enseignement;1500000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;321;Bibliothèques et médiathèques;42000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74748;Participations - Autres communes;213;Classes regroupées;21000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;322;Musées;270232
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;510;Services communs;100000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74833;Etat - Compensation au titre de la Contribution Économique Territoriale;01;Opérations non ventilables;2641000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7488;Autres attributions et participations;421;Centres de loisirs;283500
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;414;Autres équipements sportifs ou de loisir;25000
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;757;Redevances versées par les fermiers et les concessionnaires;414;Autres équipements sportifs ou de loisir;358642
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;757;Redevances versées par les fermiers et les concessionnaires;816;Autres réseaux et services divers;549075
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;758;Produits divers de gestion courante;421;Centres de loisirs;1200
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;758;Produits divers de gestion courante;423;Colonies de vacances;10600
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;758;Produits divers de gestion courante;510;Services communs;195000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7718;Autres produits exceptionnels sur opérations de gestion;321;Bibliothèques et médiathèques;11500
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7718;Autres produits exceptionnels sur opérations de gestion;510;Services communs;80000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;020;Administration générale de la collectivité;658000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;321;Bibliothèques et médiathèques;1000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;824;Autres opérations d'aménagement urbain;2700000
Budget principal VT;M14;Recette;Réel;Investissement;10;Dotations, fonds divers et réserves;10222;F.C.T.V.A.;01;Opération non ventilable;16000000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);13251;Subventions d'équipement non transférables - GFP de rattachement;33;Action culturelle;2000000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1327;Subventions d'équipement non transférables - Budget communautaire et fonds structurels;824;Autres opérations d'aménagement urbain;920000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;510;Services communs;160000
Budget principal VT;M14;Recette;Réel;Investissement;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;01;Opération non ventilable;8600
Budget principal VT;M14;Recette;Réel;Investissement;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;020;Administration générale de la collectivité;10000
Budget principal VT;M14;Recette;Réel;Investissement;27;Autres immobilisations financières;274;Prêts;01;Opérations non ventilables;2356300
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;2802;Amortissement des frais d'études, d'élaboration, de modifications et de révisions des documents d'urbanisme;01;Opération non ventilable;98515
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;2804172;Amortissement des subventions d'équipement versées aux autres établissements publics locaux - Bâtiments et installations;01;Opération non ventilable;982622
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;2804182;Amortissement des subventions d'équipement versées aux autres organismes publics - Bâtiments et installations;01;Opération non ventilable;6866
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28152;Amortissements des installations de voirie;01;Opération non ventilable;2110055
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;281538;Amortissements des autres réseaux;01;Opération non ventilable;313585
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;422;Autres activités pour les jeunes;78709
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;423;Colonies de vacances;1229
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;522;Actions en faveur de l'enfance et de l'adolescence;6561
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;01;Opérations non ventilables;1291662
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;023;Information, communication, publicité;1182902
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;112;Police municipale;5653131
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;251;Hébergement et restauration scolaire;2013619
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;312;Arts plastiques et autres activités artistiques;27552
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;321;Bibliothèques et médiathèques;8668246
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;511;Dispensaires et autrs établissements sanitaires;120817
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;523;Actions en faveur des personnes en difficulté;45581
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;63;Aides à la famille;326736
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;64;Crèches et garderies;9081464
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;822;Voirie communale et routes;1346854
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;824;Autres opérations d'aménagement urbain;3168215
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;01;Opérations non ventilables;25914
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;110;Services communs;33498
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;211;Ecoles maternelles;670139
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;213;Classes regroupées;4481
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;322;Musées;123198
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;510;Services communs;52766
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;511;Dispensaires et autrs établissements sanitaires;4287
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;523;Actions en faveur des personnes en difficulté;2393
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;63;Aides à la famille;5409
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;01;Opérations non ventilables;279467
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;020;Administration générale de la collectivité;5565410
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;211;Ecoles maternelles;4574386
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;255;Classes de découverte et autres services annexes de l'enseignement;139538
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;311;Expression musicale, lyrique et chorégraphique;711682
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;422;Autres activités pour les jeunes;1763649
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;820;Services communs;1168343
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;824;Autres opérations d'aménagement urbain;991761
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;114;Autres services de protection civile;42248
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;251;Hébergement et restauration scolaire;60223
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;313;Théâtres;1300
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;422;Autres activités pour les jeunes;1035360
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;423;Colonies de vacances;381884
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;510;Services communs;162494
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;823;Espaces verts urbains;192502
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;023;Information, communication, publicité;174035
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64168;Autres emplois d'insertion;40;Services communs;1388
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;251;Hébergement et restauration scolaire;33064
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;021;Assemblée locale;63486
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;022;Administration générale de l'Etat;337059
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;024;Fêtes et cérémonies;62496
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;026;Cimetières et pompes funèbres;306667
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;114;Autres services de protection civile;125085
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;20;Services communs;544526
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;421;Centres de loisirs;279549
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;423;Colonies de vacances;35162
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;510;Services communs;367046
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;814;Eclairage public;209740
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;831;Aménagement des eaux;49553
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;023;Information, communication, publicité;467991
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;024;Fêtes et cérémonies;80631
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;211;Ecoles maternelles;6989061
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;40;Services communs;3938473
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;415;Manifestations sportives;1577
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;523;Actions en faveur des personnes en difficulté;14559
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;020;Administration générale de la collectivité;2921
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;64;Crèches et garderies;3231
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;313;Théâtres;700
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;422;Autres activités pour les jeunes;71422
Budget principal VT;M14;Dépense;Réel;Fonctionnement;014;Atténuations de produits;739118;Autres reversements de fiscalité;95;Aides au tourisme;1800000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;024;Fêtes et cérémonies;17000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;824;Autres opérations d'aménagement urbain;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6534;Cotisations de sécurité sociale des maires, adjoints et conseillers - part patronale;021;Assemblée locale;405000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6535;Formation des maires, adjoints et conseillers;021;Assemblée locale;80000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6554;Contributions aux organismes de regroupement;322;Musées;2090000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;657358;Subventions de fonctionnement versées - Autres groupements;40;Services communs;133181
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;657361;Subventions de fonctionnement à la caisse des écoles;522;Actions en faveur de l'enfance et de l'adolescence;114350
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;23;Enseignement supérieur;390000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;30;Services communs;1134120
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;421;Centres de loisirs;2150000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;422;Autres activités pour les jeunes;190000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;522;Actions en faveur de l'enfance et de l'adolescence;985000
