Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6541;CREANCES ADMISES EN NON-VALEUR;020;Administration générale de la collectivité;65;Autres ch d'activité;400000;0
Budget principal VT;Dépense;Ordre;Fonctionnement;M14V;042;Opérations d'ordre de transfert entre sections;6811;Dotations aux amortissements des immobilisations incorporelles et corporelles;01;Opération non ventilable;68;Dot. amort. et prov.;25573541;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;020;Administration générale de la collectivité;65;Autres ch d'activité;3540;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7477;Participations du budget communautaire et fonds structurels;048;Autres actions de coopération décentralisée;74;Dotations, subv.;28750;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;021;Assemblée locale;012;Ch.de pers., frais ass.;5390;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;520;Services communs;011;Ch. à caract. gén.;1710000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;023;Information, communication, publicité;012;Ch.de pers., frais ass.;22089;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;10382;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6283;Frais de nettoyage des locaux;411;Salles de sports, gymnases;011;Ch. à caract. gén.;123600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;52415;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7321;Attribution de compensation;01;Opérations non ventilables;73;Impôts et taxes;170442847;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;43649;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;19190;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;1670551;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60624;Produits de traitement;510;Services communs;011;Ch. à caract. gén.;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;38585;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;024;Fêtes et cérémonies;012;Ch.de pers., frais ass.;71072;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;20;Services communs;012;Ch.de pers., frais ass.;1091268;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;414;Autres équipements sportifs ou de loisir;21;Immob. corporelles;0;0
Théâtre Orchestre du Capitole;Recette;Réel;Fonctionnement;M14;002;Résultats de fonctionnement reportés;2;Résultats de fonctionnement reportés;01;Opération non ventilable;002;;0;0
Pompes Funèbres;Recette;Ordre;Investissement;M4x;040;Opérations d'ordre de transfert entre sections;28182;Amortissements des immobilisations corporelles - Matériel de transport;28182;Amortissements des immobilisations corporelles - Matériel de transport;28;;21853;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;313;Théâtres;012;Ch.de pers., frais ass.;78200;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services à caractère culturel;33;Action culturelle;70;Prod. des services;645000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7388;Autres taxes diverses;024;Fêtes et cérémonies;73;Impôts et taxes;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;5306096;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6248;Divers;322;Musées;011;Ch. à caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;64;Crèches et garderies;011;Ch. à caract. gén.;115005;0
Budget principal VT;Recette;Réel;Investissement;M14V;024;Produits des cessions d'immobilisations (recettes);24;Produits des cessions d'immobilisations;824;Autres opérations d'aménagement urbain;024;;742000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;313;Théâtres;012;Ch.de pers., frais ass.;20000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;64731;Allocations de chômage versées directement;313;Théâtres;012;Ch.de pers., frais ass.;265227;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;020;Administration générale de la collectivité;011;Ch. à caract. gén.;1696738;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;824;Autres opérations d'aménagement urbain;77;Prod. exceptionnels;788000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;422;Autres activités pour les jeunes;21;Immob. corporelles;40350;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;322;Musées;21;Immob. corporelles;377907;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;831;Aménagement des eaux;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;421;Centres de loisirs;012;Ch.de pers., frais ass.;550510;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;822;Voirie communale et routes;70;Prod. des services;445000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6232;Fêtes et cérémonies;023;Information, communication, publicité;011;Ch. à caract. gén.;152000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;811;Eau et assainissement;011;Ch. à caract. gén.;365850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;617;Etudes et reherches;833;Préservation du millieu naturel;011;Ch. à caract. gén.;51000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;524;Autres services;011;Ch. à caract. gén.;2868;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);524;Autres services;011;Ch. à caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6714;Bourses et prix;524;Autres services;67;Ch. execpt.;5000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7364;Prélevement sur les produits des jeux;90;Interventions économiques;73;Impôts et taxes;5300000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7351;Taxe sur l'électricité;01;Opérations non ventilables;73;Impôts et taxes;8400000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60631;Fournitures d'entretien;022;Administration générale de l'Etat;011;Ch. à caract. gén.;4800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;520;Services communs;012;Ch.de pers., frais ass.;131478;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;637;Autres impôts, taxes et versements assimilés (autres organismes);520;Services communs;011;Ch. à caract. gén.;5000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;01;Opérations non ventilables;77;Prod. exceptionnels;1000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);020;Administration générale de la collectivité;011;Ch. à caract. gén.;129050;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7337;Droits de stationnement;822;Voirie communale et routes;73;Impôts et taxes;4406000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;322;Musées;012;Ch.de pers., frais ass.;22712;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;70;Services communs;012;Ch.de pers., frais ass.;117528;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;822;Voirie communale et routes;012;Ch.de pers., frais ass.;1239312;0
Budget principal VT;Recette;Réel;Investissement;M14V;27;Autres immobilisations financières;275;Dépots et cautionnements versés;01;Opérations non ventilables;27;Autres immob. fin.;34590;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;020;Administration générale de la collectivité;21;Immob. corporelles;1006960;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;450904;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6488;Autres charges;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61523;Entretien et réparations des voies et réseaux;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;264000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;5803;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6227;Frais d'actes et de contentieux;020;Administration générale de la collectivité;011;Ch. à caract. gén.;543150;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;510;Services communs;012;Ch.de pers., frais ass.;330629;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;820;Services communs;012;Ch.de pers., frais ass.;679998;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;2345;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;212;Ecoles primaires;012;Ch.de pers., frais ass.;6736;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;213;Classes regroupées;011;Ch. à caract. gén.;42000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;244498;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;90;Interventions économiques;012;Ch.de pers., frais ass.;688;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;211;Ecoles maternelles;012;Ch.de pers., frais ass.;2033;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;510;Services communs;011;Ch. à caract. gén.;4500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;414;Autres équipements sportifs ou de loisir;21;Immob. corporelles;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;421;Centres de loisirs;012;Ch.de pers., frais ass.;13012;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;510;Services communs;012;Ch.de pers., frais ass.;9283;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;415;Manifestations sportives;012;Ch.de pers., frais ass.;1496;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;013;Atténuations de charges;6459;Remboursements sur charges de sécurité sociale et de prévoyance;020;Administration générale de la collectivité;013;Atténuation de ch.;900000;0
Pompes Funèbres;Dépense;Réel;Investissement;M4x;21;Immobilisations corporelles;2184;Autres immobilisations corporelles - Mobilier;2184;Autres immobilisations corporelles - Mobilier;21;;0;0
Pompes Funèbres;Recette;Réel;Fonctionnement;M4x;70;Ventes de produits fabriqués, prestations de services, marchandises;706;Prestations de services;706;Prestations de services;70;;1660000;0
